91-Pa-231(n,total fission) ENDF/B-VII.1
21.9582,0.00614259
21.9723,0.00775107
21.9863,0.00988309
22.0017,0.0129674
22.0189,0.0174688
22.0385,0.0239561
22.0705,0.0369982
22.1078,0.0520426
22.1301,0.0580092
22.1511,0.0599791
22.1709,0.0582355
22.1947,0.0520064
22.2345,0.0360633
22.2655,0.0237063
22.2859,0.0171752
22.302,0.0130748
22.318,0.00991543
22.332,0.00779658
22.346,0.00617289
22.3612,0.00485119
22.3767,0.00386529
22.3923,0.00314521
22.4097,0.00255912
22.4283,0.00210547
22.4507,0.00171401
22.4749,0.00140774
22.5029,0.00114827
22.5364,9.19581E-4
22.5755,7.24398E-4
22.6175,5.7014E-4
22.6656,4.38784E-4
22.7153,3.37664E-4
22.765,2.60727E-4
22.8147,2.01129E-4
22.8706,1.4931E-4
22.925,1.1054E-4
22.9762,8.20238E-5
23.0275,5.96845E-5
23.0741,4.37916E-5
23.116,3.25434E-5
23.1564,2.40897E-5
23.1937,1.81204E-5
23.2247,1.43621E-5
23.2527,1.18516E-5
23.2806,1.0115E-5
23.3086,9.10972E-6
23.3303,8.81026E-6
23.3583,9.02012E-6
23.3862,9.87538E-6
23.4142,1.13551E-5
23.4468,1.38492E-5
23.4841,1.76908E-5
23.5301,2.38648E-5
23.5835,3.30324E-5
23.6468,4.66934E-5
23.7119,6.41754E-5
23.7879,8.94235E-5
23.8714,1.24379E-4
23.955,1.68912E-4
24.0385,2.26504E-4
24.1145,2.95219E-4
24.1828,3.77298E-4
24.2436,4.75347E-4
24.2993,5.98373E-4
24.3436,7.32786E-4
24.3853,9.08804E-4
24.4208,0.00112267
24.4461,0.00133927
24.4691,0.00161743
24.4906,0.00199637
24.5079,0.00243525
24.5229,0.00297116
24.5387,0.00375543
24.5524,0.00468478
24.5661,0.00592361
24.5787,0.00741815
24.5939,0.00975078
24.6091,0.0127729
24.6263,0.0171231
24.6466,0.0234987
24.7114,0.0477384
24.7377,0.0543429
24.7596,0.0561474
24.7835,0.0537908
24.8046,0.0484183
24.8435,0.033957
24.8754,0.0220918
24.8947,0.0162232
24.9124,0.0119229
24.9276,0.00906149
24.9423,0.00693842
24.9559,0.00544077
24.9696,0.00431692
24.9837,0.00346639
24.9985,0.00282123
25.0149,0.0023215
25.0314,0.00197921
25.0511,0.00170444
25.0775,0.00147891
25.1052,0.00134236
